field_1,V1,Объек,Номер,назва,Комме,Идент,FiasAuxSub,FiasAuxObj,Иден_1,Иден_2,Иден_3,Иден_4,Иден_5,Иден_6,Иден_7,Иден_8,Иден_9,Полны,На ка�,Id-Рег�,Регио,учетн,Id-Кат�,Катег,Id-Тип,Тип о�,Id-Вид,Вид о�,описа,текст,Id-общ�,Id-При�,Прина,Id-Осо�,Особо,идент,дата �,GeoId,X,Y,наиме,Изобр,зоны �,Items,Id - ид�,призн,приз_1,год п�,год п�_1,парам,относ,катег,дата_1,дата �_1,address,lat,lon,raw,longitude,latitude
1,1,Дом Неклюдиной,651410023830006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Самарская область, г. Самара, ул. Венцека, 48",,63,Самарская область,63-3220,1,Федерального значения,NA,NA,1,Памятник,"Местоположение и градостроительные характеристики здания   (1850-е гг.- 1910-е гг.), участвующего в формировании сплошной застройки красной лин�","1-6 граница проходит 47,92 м по часовой стрелке   на северо-восток, граница изломана, проходит по границе охранной зоны объекта культурного нас","[{""""""""id"""""""":""""""""3"""""""",""""""""value"""""""":""""""""Памятник градостроительства и архитектуры""""""""}]",2,нет,2,нет,NA,2-я пол. XIX в.,NA,50.093319999999999,53.184350000000002,"[{""""""""name"""""""":""""""""Решение Исполнительного комитета Куйбышевского областного Совета депутатов трудящихся «Об охране памятников истории и культу","{""""""""url"""""""":""""""""https://okn-mk.mkrf.ru/maps/show/id/4810982"""""""",""""""""title"""""""":""""""""4810982""""""""}","Для Объекта культурного установлены следующие зоны охраны:  охранная зона;  зона регулирования застройки и хозяйственной деятельности",,151495,1,NA,"1987",NA,NA,/cdm/v2/heritages/1/151495,heritage,NA,2023-11-02 12:48:20,"Самарская область, г. Самара, ул. Венцека, 48",53.184350000000002,50.093319999999999,,NA,NA
2,2,"Дом, в котором жил Ленин Владимир Ильич в 1890-1893 гг. В доме - мемориальный музей В.И.Ленина",651410023800006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Самарская область, г. Самара, ул. Ленинская, 131-135/ ул. Рабочая, 37","{""""""""coordinates"""""""":[50.104748,53.182945],""""""""type"""""""":""""""""Point""""""""}",63,Самарская область,63-3230,1,Федерального значения,NA,NA,1,Памятник,"Памятное место, связанное с жизнью выдающейся исторической личности – В.И.Ульянова (Ленина).  Объёмно-пространственная композиция объекта","На основании топогеодезической подосновы в масштабе 1:2000 в координатах, совместимых с Генеральным планом городского округа Самара, в форм�","[{""""""""id"""""""":""""""""2"""""""",""""""""value"""""""":""""""""Памятник истории""""""""}]",2,нет,2,нет,NA,1890-1893 гг.,NA,50.104748000000001,53.182944999999997,"[{""""""""name"""""""":""""""""Постановление Совета министров РСФСР \""""""""О дальнейшем улучшении дела охраны памятников культуры в РСФСР\"""""""""""""""",""""""""number"""""""":""""""""1327"""""""",""""""""da","{""""""""url"""""""":""""""""https://okn-mk.mkrf.ru/maps/show/id/3780933"""""""",""""""""title"""""""":""""""""3780933""""""""}","Для Объекта культурного наследия установлены следующие зоны охраны:  охранная зона;  зона регулирования застройки и хозяйственной деятел�",,151519,1,NA,"1960",NA,NA,/cdm/v2/heritages/1/151519,heritage,NA,2022-11-03 08:45:52,"Самарская область, г. Самара, ул. Ленинская, 131-135/ ул. Рабочая, 37",53.192979999999999,50.111319999999999,"{coordinates:[50.104748,53.182945],type:Point}","50.104748","53.182945"
3,3,Комплекс дачи Головкина,651410024410006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Самарская область, г. Самара, Советской Армии ул.",,63,Самарская область,63-3233,1,Федерального значения,NA,NA,1,Памятник,"Градостроительные характеристики:    местоположение и градостроительные характеристики объекта культурного наследия, включающего в се�","Границы территории объекта «Комплекс дачи Головкина, нач. XX в.,  арх. Головкин К.П.» (г. Самара, ул. Советской Армии, д. 296) проходят следующим о�","[{""""""""id"""""""":""""""""3"""""""",""""""""value"""""""":""""""""Памятник градостроительства и архитектуры""""""""}]",2,нет,2,нет,NA,"нач. XX в., арх. Головкин К.П.",NA,50.181910000000002,53.237499999999997,"[{""""""""name"""""""":""""""""Указ Президента Российской Федерации \""""""""Об утверждении перечня объектов исторического и культурного наследия федерального (об","{""""""""url"""""""":""""""""https://okn-mk.mkrf.ru/maps/show/id/4499464"""""""",""""""""title"""""""":""""""""4499464""""""""}",Для объекта установлены:  единая зона регулирования застройки и хозяйственной деятельности   единая зона охраняемого природного ландшафт,,151522,1,NA,"1995",NA,NA,/cdm/v2/heritages/1/151522,heritage,NA,2022-11-02 09:18:46,"Самарская область, г. Самара, Советской Армии ул.",53.237499999999997,50.181910000000002,,NA,NA
4,4,Дом Гринберга,631510303440005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Самарская область, г. Самара, ул. Самарская, 138",,63,Самарская область,63-3313,2,Регионального значения,NA,NA,1,Памятник,"объёмно-пространственная и планировочная структура объекта культурного наследия: здание кирпичное, трехэтажное с подвалом, первоначальн",Границы территории объекта культурного наследия (далее – ОКН) описываются 4-мя точками и установлены согласно точкам координат (таблица №,"[{""""""""id"""""""":""""""""3"""""""",""""""""value"""""""":""""""""Памятник градостроительства и архитектуры""""""""}]",2,нет,2,нет,NA,1900 г.,NA,50.106200000000001,53.194740000000003,"[{""""""""name"""""""":""""""""Решение Исполнительного комитета Куйбышевского областного Совета народных депутатов «О выполнении Закона РСФСР «Об охране и и","{""""""""url"""""""":""""""""https://okn-mk.mkrf.ru/maps/show/id/4790691"""""""",""""""""title"""""""":""""""""4790691""""""""}",Границы зоны охраны описываются 22-мя точками и установлены согласно точкам координат (таблица №2) следующим образом: от начальной точки 1 н,,151612,1,NA,"1987",NA,NA,/cdm/v2/heritages/1/151612,heritage,NA,2022-10-19 07:53:38,"Самарская область, г. Самара, ул. Самарская, 138",53.194740000000003,50.106200000000001,,NA,NA
5,5,Больница нефтяников,631510304500005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Самарская область, г. Самара, ул. Л. Толстого, 59","{""""""""coordinates"""""""":[50.100215941138956,53.19060434023793],""""""""type"""""""":""""""""Point""""""""}",63,Самарская область,63-3318,2,Регионального значения,NA,NA,1,Памятник,Объёмно-пространственная и планировочная структура объекта культурного наследия: четырехэтажное кирпичное прямоугольное в плане здание,сведения отсутствуют,"[{""""""""id"""""""":""""""""3"""""""",""""""""value"""""""":""""""""Памятник градостроительства и архитектуры""""""""}]",2,нет,2,нет,NA,1950 г.,NA,50.100215941138998,53.190604340237897,"[{""""""""name"""""""":""""""""Решение Исполнительного комитета Куйбышевского Областного Совета народных депутатов"""""""",""""""""number"""""""":""""""""165"""""""",""""""""date"""""""":""""""""1987-05-06"""""""",""""""""archive""","{""""""""url"""""""":""""""""https://okn-mk.mkrf.ru/maps/show/id/253531"""""""",""""""""title"""""""":""""""""253531""""""""}",,,151615,1,NA,NA,NA,NA,/cdm/v2/heritages/1/151615,heritage,2015-10-09 14:12:46,NA,"Самарская область, г. Самара, ул. Л. Толстого, 59",53.190519999999999,50.100270000000002,"{coordinates:[50.100215941138956,53.19060434023793],type:Point}","50.100215941139","53.1906043402379"
6,6,Здание управления Средневолжского речного пароходства,651410023590006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Самарская область, г. Самара, ул. Горького М., 105","{""""""""coordinates"""""""":[50.081859,53.188352],""""""""type"""""""":""""""""Point""""""""}",63,Самарская область,63-3319,1,Федерального значения,NA,NA,1,Памятник,"Рельеф волжского склона, определяющий объёмно-пространственную композицию здания.  Объёмно-пространственная композиция здания, композиц","В соответствии с данными государственного кадастра недвижимости, решение об учёте земельного участка с почтовым адресом ориентира: ул.М.Г","[{""""""""id"""""""":""""""""3"""""""",""""""""value"""""""":""""""""Памятник градостроительства и архитектуры""""""""}]",2,нет,2,нет,NA,"1936-1937 гг., арх. Ушаков А.И.",NA,50.081859000000001,53.188352000000002,"[{""""""""name"""""""":""""""""Указ Президента Российской Федерации \""""""""Об утверждении перечня объектов исторического и культурного наследия федерального (об","{""""""""url"""""""":""""""""https://okn-mk.mkrf.ru/maps/show/id/4815599"""""""",""""""""title"""""""":""""""""4815599""""""""}","Для Объекта культурного наследия установлены следующие зоны охраны:  охранная зона;  зона регулирования застройки и хозяйственной деятел�",,151616,1,NA,"1995",NA,NA,/cdm/v2/heritages/1/151616,heritage,NA,2022-10-31 13:42:09,"Самарская область, г. Самара, ул. Горького М., 105",53.188330000000001,50.081829999999997,"{coordinates:[50.081859,53.188352],type:Point}","50.081859","53.188352"
7,7,Дворец культуры им. В.В.Куйбышева,631410304360005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Самарская область, г. Самара, пл. Куйбышева, 1","{""""""""coordinates"""""""":[50.10323,53.195155],""""""""type"""""""":""""""""Point""""""""}",63,Самарская область,63-3320,2,Регионального значения,NA,NA,1,Памятник,"Объёмно-пространственная и планировочная структура объекта культурного наследия: кирпичное здание переменной этажности от 3 до 6 этажей,",Сведения отсутствуют,"[{""""""""id"""""""":""""""""3"""""""",""""""""value"""""""":""""""""Памятник градостроительства и архитектуры""""""""}]",2,нет,2,нет,NA,1938 г.,NA,50.103230000000003,53.195155000000000,"[{""""""""name"""""""":""""""""Решение Исполнительного комитета Куйбышевского областного Совета народных депутатов"""""""",""""""""number"""""""":""""""""165"""""""",""""""""date"""""""":""""""""1987-05-06"""""""",""""""""archive""","{""""""""url"""""""":""""""""https://okn-mk.mkrf.ru/maps/show/id/253622"""""""",""""""""title"""""""":""""""""253622""""""""}",,,151617,1,NA,NA,NA,NA,/cdm/v2/heritages/1/151617,heritage,2015-10-22 07:39:21,NA,"Самарская область, г. Самара, пл. Куйбышева, 1",53.195180000000001,50.103110000000001,"{coordinates:[50.10323,53.195155],type:Point}","50.10323","53.195155"
8,8,"Дом, в котором в 1922-1924 гг. датский писатель-коммунист Мартин Андерсен Нексе содержал детский дом для 65 детей-сирот",651410023820006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Самарская область г.Самара,  Галактионовская ул., 21","{""""""""coordinates"""""""":[50.101415,53.190138],""""""""type"""""""":""""""""Point""""""""}",63,Самарская область,63-3322,1,Федерального значения,NA,NA,1,Памятник,Здание связано с жизнью и деятельностью датского писателя-коммуниста Мартина Андерсена Нексе.  Объёмно-пространственная композиция объе�,На основании кадастровой выписки о земельном участке (выписки из государственного кадастра недвижимости) от 15 июня 2010 года N 63-00-102/10-251212 оп�,"[{""""""""id"""""""":""""""""2"""""""",""""""""value"""""""":""""""""Памятник истории""""""""}]",2,нет,2,нет,NA,1922-1924 гг,NA,50.101415000000003,53.190137999999997,"[{""""""""name"""""""":""""""""Постановление Совета министров РСФСР \""""""""О дополнении и частичном изменении постановления Совета Министров РСФСР от 30 августа 19","{""""""""url"""""""":""""""""https://okn-mk.mkrf.ru/maps/show/id/4814647"""""""",""""""""title"""""""":""""""""4814647""""""""}","Для Объекта культурного наследия установлены следующие зоны охраны:  охранная зона;  зона регулирования застройки и хозяйственной деятел�",,151618,1,NA,"1974",NA,NA,/cdm/v2/heritages/1/151618,heritage,NA,2022-10-28 11:57:24,"Самарская область г.Самара,  Галактионовская ул., 21",53.183000000000000,50.096460000000000,"{coordinates:[50.101415,53.190138],type:Point}","50.101415","53.190138"
9,9,Пушкинский народный дом,651410023810006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Самарская область, г. Самара, ул. Ленинская, 118/ ул. Толстого Л., 94","{""""""""coordinates"""""""":[50.105799,53.187165],""""""""type"""""""":""""""""Point""""""""}",63,Самарская область,63-3323,1,Федерального значения,NA,NA,1,Памятник,"Объёмно-пространственная композиция объекта культурного наследия:  здание двухэтажное с подвалом, кирпичное, Г-образной формы   в плане,  а","На основании топогеодезической подосновы в масштабе 1:2000 в координатах, совместимых с Генеральным планом городского округа Самара, в форм�","[{""""""""id"""""""":""""""""3"""""""",""""""""value"""""""":""""""""Памятник градостроительства и архитектуры""""""""}]",2,нет,2,нет,NA,"1903 г., арх. Засухин Ф.П.",NA,50.105798999999998,53.187165000000000,"[{""""""""name"""""""":""""""""Решение Исполнительного комитета Куйбышевского областного Совета депутатов трудящихся \""""""""Об охране памятников истории и куль�","{""""""""url"""""""":""""""""https://okn-mk.mkrf.ru/maps/show/id/4822910"""""""",""""""""title"""""""":""""""""4822910""""""""}","5. Для объекта культурного наследия федерального значения «Народный дом Пушкинский» установлены следующие зоны охраны:   Охранная зона;",,151619,1,NA,"1966",NA,NA,/cdm/v2/heritages/1/151619,heritage,NA,2022-11-02 07:13:11,"Самарская область, г. Самара, ул. Ленинская, 118/ ул. Толстого Л., 94",53.189459999999997,50.107399999999998,"{coordinates:[50.105799,53.187165],type:Point}","50.105799","53.187165"
10,10,"Дом, где в квартире зубного врача А.А.Канцельсона в 1891-1892 гг. бывал В.И.Ленин. Дом Хреновой (памятное место)",631410309800005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Самарская область, г. Самара, Куйбышева, 103","{""""""""coordinates"""""""":[50.08983304778024,53.1883720274886],""""""""type"""""""":""""""""Point""""""""}",63,Самарская область,63-3325,2,Регионального значения,NA,NA,1,Памятник,Объёмно-пространственная и планировочная структура объекта культурного наследия: двухчастная объемно-пространственная композиция заст�,Сведения отсутствуют,"[{""""""""id"""""""":""""""""3"""""""",""""""""value"""""""":""""""""Памятник градостроительства и архитектуры""""""""}]",2,нет,2,нет,NA,1907 г.,NA,50.089833047780203,53.188372027488597,"[{""""""""name"""""""":""""""""Решение Исполнительного комитета Куйбышевского областного Совета депутатов трудящихся"""""""",""""""""number"""""""":""""""""617"""""""",""""""""date"""""""":""""""""1966-11-19"""""""",""""""""arch","{""""""""url"""""""":""""""""https://okn-mk.mkrf.ru/maps/show/id/253976"""""""",""""""""title"""""""":""""""""253976""""""""}",,,151621,1,NA,NA,NA,NA,/cdm/v2/heritages/1/151621,heritage,2015-11-09 07:30:36,NA,"Самарская область, г. Самара, Куйбышева, 103",53.188400000000001,50.089900000000000,"{coordinates:[50.08983304778024,53.1883720274886],type:Point}","50.0898330477802","53.1883720274886"
11,11,Винный склад Иванова,631410308820005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Самарская область, город Самара, улица Молодогвардейская, 39/улица Венцека, 61","{""""""""coordinates"""""""":[50.097274,53.187855],""""""""type"""""""":""""""""Point""""""""}",63,Самарская область,63-3328,2,Регионального значения,NA,NA,1,Памятник,"Объёмно-пространственная и планировочная структура объекта культурного наследия: двухэтажное кирпичное здание, габариты в плане и по выс",сведения отсутствуют,"[{""""""""id"""""""":""""""""3"""""""",""""""""value"""""""":""""""""Памятник градостроительства и архитектуры""""""""}]",2,нет,2,нет,NA,1900 г.,NA,50.097273999999999,53.187854999999999,"[{""""""""name"""""""":""""""""Решение Исполнительного комитета Куйбышевского областного Совета народных депутатов"""""""",""""""""number"""""""":""""""""165"""""""",""""""""date"""""""":""""""""1987-05-06"""""""",""""""""archive""","{""""""""url"""""""":""""""""https://okn-mk.mkrf.ru/maps/show/id/254227"""""""",""""""""title"""""""":""""""""254227""""""""}",,,151623,1,NA,NA,NA,NA,/cdm/v2/heritages/1/151623,heritage,2015-11-09 06:58:41,NA,"Самарская область, город Самара, улица Молодогвардейская, 39/улица Венцека, 61",53.183320000000002,50.094459999999998,"{coordinates:[50.097274,53.187855],type:Point}","50.097274","53.187855"
12,12,"Особняк Путилова, 1853 г., арх. Мейснер А.И.",651410023560006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Самарская область, г. Самара, ул. Толстого А., 48-50/ ул. Пионерская, 17, литеры А, А1, А2, а1",,63,Самарская область,63-3329,1,Федерального значения,NA,NA,1,Памятник,"Объёмно-пространственная композиция объекта культурного наследия:   - здание кирпичное, двухэтажное на цокольном этаже, с подвалом, прямоу","Граница территории объекта проходит :  - от 37 до 38 с востока на запад 33,5 м вдоль северного торца дворового строения м части дворовой террито�","[{""""""""id"""""""":""""""""3"""""""",""""""""value"""""""":""""""""Памятник градостроительства и архитектуры""""""""}]",2,нет,2,нет,NA,"1853 г., арх. Мейснер А.И.",NA,50.081220000000002,53.184069999999998,"[{""""""""name"""""""":""""""""Указ Президента Российской Федерации \""""""""Об утверждении перечня объектов исторического и культурного наследия федерального (об","{""""""""url"""""""":""""""""https://okn-mk.mkrf.ru/maps/show/id/4808507"""""""",""""""""title"""""""":""""""""4808507""""""""}",Постановление Самарской области «Об утверждении границ объединенной зоны объектов культурного наследия федерального значения «Особняк,,151624,1,NA,"1992",NA,NA,/cdm/v2/heritages/1/151624,heritage,NA,2022-11-14 15:54:58,"Самарская область, г. Самара, ул. Толстого А., 48-50/ ул. Пионерская, 17, литеры А, А1, А2, а1",53.184069999999998,50.081220000000002,,NA,NA
13,13,Здание Волжско-Камского коммерческого банка,651410023540006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Самарская область, г. Самара, ул. Куйбышева, 92","{""""""""coordinates"""""""":[50.0895423399502,53.1895446636019],""""""""type"""""""":""""""""Point""""""""}",63,Самарская область,63-3331,1,Федерального значения,NA,NA,1,Памятник,"Объёмно-планировочная композиция объекта культурного наследия:  - здание трехэтажное, кирпичное, с высоким подвальным этажом;  - ризалиты н","На основании топогеодезической подосновы в масштабе 1:2000 в координатах, совместимых с Генеральным планом городского округа Самара, в форм�","[{""""""""id"""""""":""""""""2"""""""",""""""""value"""""""":""""""""Памятник истории""""""""}]",2,нет,2,нет,NA,"1913-1915 гг., арх. Якунин В.И.",NA,50.089542339950199,53.189544663601907,"[{""""""""name"""""""":""""""""Указ Президента Российской Федерации \""""""""Об утверждении перечня объектов исторического и культурного наследия федерального (об","{""""""""url"""""""":""""""""https://okn-mk.mkrf.ru/maps/show/id/4705652"""""""",""""""""title"""""""":""""""""4705652""""""""}","Постановление Правительства Самарской области """"""""Об утверждении границ зон охраны объектов культурного наследия федерального значения, �",,151625,1,NA,"1995",NA,NA,/cdm/v2/heritages/1/151625,heritage,NA,2022-08-05 12:21:47,"Самарская область, г. Самара, ул. Куйбышева, 92",53.189439999999998,50.089820000000003,"{coordinates:[50.0895423399502,53.1895446636019],type:Point}","50.0895423399502","53.1895446636019"
14,14,"Здание бывшего ресторана «Аквариум», где в марте-ноябре 1917 г. размещался Самарский комитет большевиков, а в сентябре 1922 года создана перва�",631410308830005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Самарская область, город Самара, улица Самарская, дом 95","{""""""""coordinates"""""""":[50.103007863753966,53.18892199636726],""""""""type"""""""":""""""""Point""""""""}",63,Самарская область,63-3346,2,Регионального значения,NA,NA,1,Памятник,"Объёмно-пространственная и планировочная структура объекта культурного наследия: кирпичное, сложное в плане, переменной этажности здани�",Сведения отсутствуют,"[{""""""""id"""""""":""""""""3"""""""",""""""""value"""""""":""""""""Памятник градостроительства и архитектуры""""""""}]",2,нет,2,нет,NA,,NA,50.103007863754002,53.188921996367299,"[{""""""""name"""""""":""""""""Решение Президиума Исполнительного Комитета Куйбышевского областного Совета народных депутатов"""""""",""""""""number"""""""":""""""""22"""""""",""""""""date"""""""":""""""""1981-05","{""""""""url"""""""":""""""""https://okn-mk.mkrf.ru/maps/show/id/254040"""""""",""""""""title"""""""":""""""""254040""""""""}",,,151635,1,NA,NA,NA,NA,/cdm/v2/heritages/1/151635,heritage,2015-11-09 07:11:28,NA,"Самарская область, город Самара, улица Самарская, дом 95",53.189300000000003,50.104080000000003,"{coordinates:[50.103007863753966,53.18892199636726],type:Point}","50.103007863754","53.1889219963673"
15,15,Здание женской гимназии (дом Поплавского),651410034530006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Самарская область, г. Самара, ул. Куйбышева, 125","{""""""""coordinates"""""""":[50.091767,53.190764],""""""""type"""""""":""""""""Point""""""""}",63,Самарская область,63-3352,1,Федерального значения,NA,NA,1,Памятник,"Объёмно-пространственная композиция объекта культурного наследия:  - здание трехэтажное кирпичное с подвалом, П-образной формы в плане; ко",В соответствии с данными государственного кадастра недвижимости решение об учете земельного участка по адресу объекта культурного насле,"[{""""""""id"""""""":""""""""2"""""""",""""""""value"""""""":""""""""Памятник истории""""""""}]",2,нет,2,нет,NA,"1902 г., арх. Щербачев А.А.",NA,50.091766999999997,53.190764000000001,"[{""""""""name"""""""":""""""""Решение Исполнительного Комитета Куйбышевского областного Совета народных депутатов \""""""""О выполнении закона РСФСР \""""""""Об охране","{""""""""url"""""""":""""""""https://okn-mk.mkrf.ru/maps/show/id/3877745"""""""",""""""""title"""""""":""""""""3877745""""""""}",Для Объекта культурного наследия установлены охранные зоны.,,151638,1,NA,"1995",NA,NA,/cdm/v2/heritages/1/151638,heritage,NA,2022-10-31 13:42:21,"Самарская область, г. Самара, ул. Куйбышева, 125",53.191000000000003,50.091459999999998,"{coordinates:[50.091767,53.190764],type:Point}","50.091767","53.190764"
16,16,Здание женской гимназии,651410034520006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Самарская область, г. Самара, ул. Комсомольская, 16, ул. Толстого А., 38","{""""""""coordinates"""""""":[50.085389,53.180975],""""""""type"""""""":""""""""Point""""""""}",63,Самарская область,63-3353,1,Федерального значения,NA,NA,1,Памятник,"Объёмно-пространственная и планировочная структура объекта культурного наследия:  - здание П-образное в плане, с закругленной угловой час�",В соответствии с данными государственного кадастра недвижимости решение об учете земельного участка по адресу объекта культурного насл�,"[{""""""""id"""""""":""""""""3"""""""",""""""""value"""""""":""""""""Памятник градостроительства и архитектуры""""""""}]",2,нет,2,нет,NA,XIX в.,NA,50.085388999999999,53.180974999999997,"[{""""""""name"""""""":""""""""Указ Президента Российской Федерации \""""""""Об утверждении перечня объектов исторического и культурного наследия федерального (об","{""""""""url"""""""":""""""""https://okn-mk.mkrf.ru/maps/show/id/3877268"""""""",""""""""title"""""""":""""""""3877268""""""""}",,,151639,1,NA,"1995",NA,NA,/cdm/v2/heritages/1/151639,heritage,NA,2024-03-01 08:38:36,"Самарская область, г. Самара, ул. Комсомольская, 16, ул. Толстого А., 38",53.182319999999997,50.080170000000003,"{coordinates:[50.085389,53.180975],type:Point}","50.085389","53.180975"
17,17,Могила Щорса Николая Александровича (1895-1919),631410308850006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Самарская область, г. Самара, Городское кладбище","{""""""""coordinates"""""""":[50.163345,53.189215],""""""""type"""""""":""""""""Point""""""""}",63,Самарская область,63-3354,1,Федерального значения,NA,NA,1,Памятник,"Отдельное захоронение: скрытые в земле человеческие останки Н.А. Щорса и предметы, связанные с захоронением.  надгробие на могиле как произ","На основании топогеодезической подосновы в масштабе 1:2000 в координатах, совместимых с Генеральным планом городского округа Самара, в форм�","[{""""""""id"""""""":""""""""2"""""""",""""""""value"""""""":""""""""Памятник истории""""""""}]",2,нет,2,нет,NA,1895-1919 гг.,NA,50.163345000000000,53.189214999999997,"[{""""""""name"""""""":""""""""Постановление Совета Министров РСФСР \""""""""О дальнейшем улучшении дела охраны памятников культуры в РСФСР\"""""""""""""""",""""""""number"""""""":""""""""1327"""""""",""""""""da","{""""""""url"""""""":""""""""https://okn-mk.mkrf.ru/maps/show/id/4831313"""""""",""""""""title"""""""":""""""""4831313""""""""}","Для Объекта культурного наследия установлены следующие зоны охраны:  охранная зона;  зона регулирования застройки и хозяйственной деятел�",,151640,1,NA,"1960",NA,NA,/cdm/v2/heritages/1/151640,heritage,NA,2022-11-07 16:55:21,"Самарская область, г. Самара, Городское кладбище",53.191609999999997,50.155520000000003,"{coordinates:[50.163345,53.189215],type:Point}","50.163345","53.189215"
18,18,"Здание Окружного суда, в котором в 1892-1893 гг. Ленин Владимир Ильич работал помощником присяжного поверенного",631510310470006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Самарская область, г. Самара, пл. Революции, 60","{""""""""coordinates"""""""":[50.0863268736779,53.1856951683134],""""""""type"""""""":""""""""Point""""""""}",63,Самарская область,63-3355,1,Федерального значения,NA,NA,1,Памятник,"Объёмно-пространственная и планировочная структура объекта культурного наследия:  - здание двухэтажное, с цокольным этажом, кирпичное, Г-о","На основании топогеодезической подосновы в масштабе 1:2000 в координатах, совместимых с Генеральным планом городского округа Самара, в форм�","[{""""""""id"""""""":""""""""3"""""""",""""""""value"""""""":""""""""Памятник градостроительства и архитектуры""""""""}]",2,нет,2,нет,NA,1859-1903 гг.,NA,50.086326873677898,53.185695168313401,"[{""""""""name"""""""":""""""""Постановление Совета министров РСФСР «О дополнении и частичном изменении постановления Совета министров РСФСР от 30 августа 1960",,"Для Объекта культурного наследия установлены следующие зоны охраны:  охранная зона;  зона регулирования застройки и хозяйственной деятел�",,151641,1,NA,"1974",NA,NA,/cdm/v2/heritages/1/151641,heritage,NA,2022-10-28 11:57:03,"Самарская область, г. Самара, пл. Революции, 60",53.186030000000002,50.087100000000000,"{coordinates:[50.0863268736779,53.1856951683134],type:Point}","50.0863268736779","53.1856951683134"
19,19,"Дом, где в квартире члена группы русских якобинцев-бланкистов М.П.Голубевой-Ясневой в 1891-1893 гг. Ленин Владимир Ильич неоднократно бывал",631510308160006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Самарская область, г. Самара, ул. Куйбышева, 65","{""""""""coordinates"""""""":[50.087229093253406,53.18408133422081],""""""""type"""""""":""""""""Point""""""""}",63,Самарская область,63-3356,1,Федерального значения,NA,NA,1,Памятник,"Памятное место, связанное с жизнью выдающейся исторической личности - В.И. Ульянова (Ленина).  Объёмно-пространственная композиция объекта",Сведения отсутствуют,"[{""""""""id"""""""":""""""""2"""""""",""""""""value"""""""":""""""""Памятник истории""""""""}]",2,нет,2,нет,NA,,NA,50.087229093253399,53.184081334220799,"[{""""""""name"""""""":""""""""Постановление Совета Министров РСФСР"""""""",""""""""number"""""""":""""""""624"""""""",""""""""date"""""""":""""""""1974-12-04"""""""",""""""""archive"""""""":{""""""""id"""""""":254063,""""""""url"""""""":""""""""https://okn-mk.mkrf.ru/maps/show/id/254063""""""""}}]","{""""""""url"""""""":""""""""https://okn-mk.mkrf.ru/maps/show/id/254068"""""""",""""""""title"""""""":""""""""254068""""""""}",,,151642,1,NA,NA,NA,NA,/cdm/v2/heritages/1/151642,heritage,2015-10-12 07:07:04,NA,"Самарская область, г. Самара, ул. Куйбышева, 65",53.184049999999999,50.087479999999999,"{coordinates:[50.087229093253406,53.18408133422081],type:Point}","50.0872290932534","53.1840813342208"
